A_ID_PERIODO,A_ID_PERIODO_FECHA,B_TARGET,A_PA_NPERIODOS_ANT,A_PA_NPERIODOS_POS,B_PA_DDM_EVER,B_PA_DDM_PROX12,B_PA_PERIODO_DQ90_EVER,D_CLI_PA_OPERACION_MIN,D_CLI_PA_PERIODO_ALTA_MIN,D_PA_OPERACION,D_PA_OPERACION_PRIMERA,D_PA_PERIODO_ALTA,I_CLI_CALIF,I_CLI_CALIF_CRC,I_CLI_OCUPACION,I_CLI_RIESGO,I_CLI_SEXO,I_PA_AREA,I_PA_PRODUCTO,I_PA_PRODUCTO_GRUPO,I_PA_SUCURSAL,N_CLI_EDAD,N_CLI_PA_ANTIG_TOTAL_MAX,N_CLI_PA_CUOTAS_MAX,N_CLI_PA_CUOTAS_PAGAS_EVER,N_CLI_PA_DDM_ACTUAL_MAX,N_CLI_PA_DDM_EVER_MAX,N_CLI_PA_DDM_ULT01a03_MAX,N_CLI_PA_MESES_DQ30_EVER_MAX,N_CLI_PA_MESES_SINPAGO_EVER_MAX,N_CLI_TC_DDM_ACTUAL_MAX,N_CLI_TC_DDM_EVER_MAX,N_CLI_TC_DDM_ULT01a03_MAX,N_PA_ANTIG,N_PA_CUOTAS,N_PA_DDM_ACTUAL,N_PA_DDM_EVER,N_PA_DDM_ULT01a03,N_PA_MESES_ALDIA_EVER,N_PA_MESES_CONPAGO_EVER,N_PA_MESES_DQ30_EVER,N_PA_MESES_SINPAGO_EVER,P_CLI_PA_CUOTA_SUM_v_INGRESO,P_CLI_PA_MONTO_NETO_SUM_v_INGRESO,P_CLI_PA_SALDO_SUM_v_INGRESO,P_CLI_TC_DEUDA_v_CREDITO,P_CLI_TC_FINANC1_v_DEUDA,P_PA_CUOTA_v_INGRESO,P_PA_CUOTA_v_MONTO_NETO,P_PA_CUOTA_v_SALDO,P_PA_MONTO_NETO_v_INGRESO,P_PA_SALDO_v_INGRESO,P_PA_SALDO_v_MONTO_NETO,PN_PA_ANTIG_v_CUOTAS,PN_PA_CUOTAS_CLIENTE,PN_PA_DDM_ACTUAL_CLIENTE,PN_PA_DDM_EVER_CLIENTE,PN_PA_DDM_ULT01a03_CLIENTE,PN_PA_MESES_ALDIA_EVER_v_ANTIG,PN_PA_MESES_CONPAGO_EVER_v_ANTIG,PN_PA_MESES_DQ30_v_SINPAGO_EVER,PV_PA_MONTO_NETO_CLIENTE,PV_PA_SALDO_CLIENTE,V_CLI_INGRESO,V_CLI_PA_CUOTA_SUM,V_CLI_PA_MONTO_NETO_SUM,V_CLI_PA_SALDO_SUM,V_CLI_TC_CREDITO_LINEA_SUM,V_CLI_TC_DEUDA_SUM,V_CLI_TC_FINANC1_SUM,V_PA_CUOTA,V_PA_MONTO_NETO,V_PA_SALDO
201302,28/02/2013,0,9,4,60,60, ,30/05/2012,201205,30/05/2012,30/05/2012,201205,0,1,SIN DEFINIR,D,F,FA,1,1,48,24,9,12,12,-1,-1,-1, ,2, , , ,9,12,-1,-1,-1,9,7,0,2,23.5,240.1432,88.2334, , ,23.5,9.785827789,26.63390507,240.1432,88.2334,36.74199394,75,100,100,100,100,100,77.77777778,0,100,100,0,117500,1200716,441167, , , ,117500,1200716,441167
201303,31/03/2013,0,10,3,60,60, ,30/05/2012,201205,30/05/2012,30/05/2012,201205,0,1,SIN DEFINIR,D,F,FA,1,1,48,24,10,12,12,-1,-1,-1, ,2, , , ,10,12,-1,-1,-1,10,8,0,2,23.5,240.1432,66.7892, , ,23.5,9.785827789,35.18532936,240.1432,66.7892,27.8122387,83.33333333,100,100,100,100,100,80,0,100,100,0,117500,1200716,333946, , , ,117500,1200716,333946
201304,30/04/2013,0,11,2,60,60, ,30/05/2012,201205,30/05/2012,30/05/2012,201205,0,1,SIN DEFINIR,D,F,FA,1,1,48,24,11,12,12,29,-1,-1, ,2, , , ,11,12,29,-1,-1,11,9,0,2,23.5,240.1432,66.7892, , ,23.5,9.785827789,35.18532936,240.1432,66.7892,27.8122387,91.66666667,100,100,100,100,100,81.81818182,0,100,100,0,117500,1200716,333946, , , ,117500,1200716,333946
201302,28/02/2013,0,1,5,25,25, ,28/01/2013,201301,28/01/2013,28/01/2013,201301,0,1,SIN DEFINIR,D,F,FA,1,1,3,23,1,6,6,-6,-34,-34, ,1, , , ,1,6,-6,-34,-34,1,0,0,1,20.48,111.2762,111.2762, , ,20.48,18.40465436,18.40465436,111.2762,111.2762,100,16.66666667,100,100,100,100,100,0,0,100,100,0,102400,556381,556381, , , ,102400,556381,556381
201303,31/03/2013,0,2,4,25,25, ,28/01/2013,201301,28/01/2013,28/01/2013,201301,0,1,SIN DEFINIR,D,F,FA,1,1,3,23,2,6,6,-36,-6,-6, ,2, , , ,2,6,-36,-6,-6,2,0,0,2,20.48,111.2762,76.0092, , ,20.48,18.40465436,26.94410677,111.2762,76.0092,68.30678977,33.33333333,100,100,100,100,100,0,0,100,100,0,102400,556381,380046, , , ,102400,556381,380046
201304,30/04/2013,0,3,3,25,25, ,28/01/2013,201301,28/01/2013,28/01/2013,201301,0,1,SIN DEFINIR,D,F,FA,1,1,3,23,3,6,6,-6,-6,-6, ,2, , , ,3,6,-6,-6,-6,3,1,0,2,20.48,111.2762,76.0092, , ,20.48,18.40465436,26.94410677,111.2762,76.0092,68.30678977,50,100,100,100,100,100,33.33333333,0,100,100,0,102400,556381,380046, , , ,102400,556381,380046
201302,28/02/2013,0,13,1,47,47, ,12/01/2012,201201,12/01/2012,12/01/2012,201201,0,1,EMPL.FIRMA PARTICULAR,G,F,OI,48,3,37,54,13,14,14,16,49,49,2,5, , , ,13,14,16,49,49,11,8,2,5,4.824415401,56.12121826,9.291341622, , ,4.824415401,8.596419591,51.9237759,56.12121826,9.291341622,16.55584449,92.85714286,100,100,100,100,84.61538462,61.53846154,40,100,100,1658232,80000,930620,154072, , , ,80000,930620,154072
201302,28/02/2013,0,5,7,11,11, ,10/09/2012,201209,10/09/2012,10/09/2012,201209,0,1,EMPL.FIRMA PROBLEMATICA,E,F,OI,1,1,14,27,5,12,12,8,-20,-20, ,1, , , ,5,12,8,-20,-20,5,4,0,1,14.8125,150.16075,104.616875, , ,14.8125,9.864428621,14.15880564,150.16075,104.616875,69.6699204,41.66666667,100,100,100,100,100,80,0,100,100,800000,118500,1201286,836935, , , ,118500,1201286,836935
201303,31/03/2013,0,6,6,11,11, ,10/09/2012,201209,10/09/2012,10/09/2012,201209,0,1,EMPL.FIRMA PROBLEMATICA,E,F,OI,1,1,14,27,6,12,12,-20,8,8, ,2, , , ,6,12,-20,8,8,6,4,0,2,14.8125,150.16075,79.908, , ,14.8125,9.864428621,18.53694248,150.16075,79.908,53.21497129,50,100,100,100,100,100,66.66666667,0,100,100,800000,118500,1201286,639264, , , ,118500,1201286,639264
201304,30/04/2013,0,7,5,11,11, ,10/09/2012,201209,10/09/2012,10/09/2012,201209,0,1,EMPL.FIRMA PROBLEMATICA,E,F,OI,1,1,14,27,7,12,12,-20,8,8, ,2, , , ,7,12,-20,8,8,7,5,0,2,14.8125,150.16075,67.182875, , ,14.8125,9.864428621,22.04802935,150.16075,67.182875,44.74063628,58.33333333,100,100,100,100,100,71.42857143,0,100,100,800000,118500,1201286,537463, , , ,118500,1201286,537463
201304,30/04/2013,0,0,4,5,5, ,18/04/2013,201304,18/04/2013,18/04/2013,201304,0,1,EMPL.FIRMA ESTATAL,D,F,OI,1,1,47,24,0,6,10,-25, , , ,0, , , ,0,6,-25, , ,0,0,0,0,12.36256447,67.23811867,67.23811867, , ,12.36256447,18.38624386,18.38624386,67.23811867,67.23811867,100,0,100,100, , , , ,0,100,100,1658232,205000,1114964,1114964, , , ,205000,1114964,1114964
